"Variety","Foll_seg","Morpho_status","Variant"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Deleted"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Non-past","Retained"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Deleted"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Consonant","Past","Retained"
"Standard American","Non-consonant","Non-past","Deleted"
"Standard American","Non-consonant","Non-past","Deleted"
"Standard American","Non-consonant","Non-past","Deleted"
"Standard American","Non-consonant","Non-past","Deleted"
"Standard American","Non-consonant","Non-past","Deleted"
"Standard American","Non-consonant","Non-past","Deleted"
"Standard American","Non-consonant","Non-past","Deleted"
"Standard American","Non-consonant","Non-past","Deleted"
"Standard American","Non-consonant","Non-past","Deleted"
"Standard American","Non-consonant","Non-past","Deleted"
"Standard American","Non-consonant","Non-past","Deleted"
"Standard American","Non-consonant","Non-past","Deleted"
"Standard American","Non-consonant","Non-past","Retained"
"Standard American","Non-consonant","Non-past","Retained"
"Standard American","Non-consonant","Non-past","Retained"
"Standard American","Non-consonant","Non-past","Retained"
"Standard American","Non-consonant","Non-past","Retained"
"Standard American","Non-consonant","Non-past","Retained"
"Standard American","Non-consonant","Non-past","Retained"
"Standard American","Non-consonant","Non-past","Retained"
"Standard American","Non-consonant","Non-past","Retained"
